gene,n_M,n_F,mean_M,mean_F,log2fc,pval,padj
SLC30A1,7,12,0.03392898,0.02084174,-0.01888089497220203,0.046924155,0.28154493123292923
SLC39A11,7,12,0.18544392,0.11417825,-0.10281463609205722,0.64190364,0.9183247804641723
SLC39A6,7,12,0.08274649,0.08692709,0.0060313348255175885,0.64190364,0.9183247804641723
SLC39A9,7,12,0.10783012,0.075017326,-0.04733885883601313,0.472328,0.9183247804641723
SLC39A14,7,12,0.011111223,0.010020828,-0.0015731078404541323,0.76527065,0.9183247804641723
SLC30A9,7,12,0.14924458,0.13632807,-0.01863457819496161,1.0,1.0
