gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
SLC39A7,10,0.057126738,0.11161395,0.07860843269733431,0.048828125,0.2939453125
SLC30A1,10,0.01529517,0.010143215,-0.007432700522097229,0.083984375,0.2939453125
MT1F,10,0.060238563,0.14095208,0.11644499209920098,0.064453125,0.2939453125
MT1X,10,0.13364632,0.21460871,0.11680403812962413,0.037109375,0.2939453125
SLC30A9,10,0.048473302,0.028583612,-0.028694757101759998,0.13085938,0.3053385416666667
MT2A,10,0.39990327,0.5512859,0.21839900550850935,0.13085938,0.3053385416666667
SLC39A10,10,0.06598435,0.10197927,0.051929688475735196,0.19335938,0.38671875
SLC39A4,10,0.05197035,0.03784368,-0.02038048157302677,0.27539062,0.48193359375
MT1E,10,0.027894234,0.07880038,0.0734420416186685,0.32226562,0.5013020833333333
SLC39A14,10,0.0026397556,0.004546832,0.0027513294065754277,0.4375,0.6124999999999999
SLC39A1,10,0.07894319,0.0782989,-0.000929523232250765,0.6953125,0.7487980769230769
SLC39A6,10,0.04958354,0.0667008,0.024694988837390693,0.6953125,0.7487980769230769
SLC39A9,10,0.018894916,0.027512208,0.012432123319064447,0.6953125,0.7487980769230769
SLC39A11,10,0.015180384,0.032873504,0.025525777904672687,0.921875,0.921875
