condition,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
HC,unsigned,3,0.12915995717048645,0.11191467195749283,-0.004521995782852173,1.0
HC,signed,3,-0.04512594257747488,-0.017394227108785083,-0.005120037655745233,1.0
MS,unsigned,13,0.14230406284332275,0.15731123089790344,0.021946176886558533,0.0078125
MS,signed,13,0.01672238251194358,0.023800005204975605,-0.008276712016335556,0.575927734375
