names,scores,logfoldchanges,pvals,pvals_adj
MT1X,0.82376033,0.5318893,0.4100757652244851,1.0
SLC39A9,0.7335579,2.3281684,0.4632182333978023,1.0
MT2A,0.6990687,0.36171046,0.48450907886939587,1.0
SLC39A11,0.68845665,26.310318,0.4911652400900648,1.0
SLC39A10,0.60356027,1.0312017,0.5461360209268182,1.0
SLC30A1,0.28785184,1.8941122,0.7734601607202392,1.0
MT1F,0.2560157,0.25162026,0.7979387273343226,1.0
SLC39A14,0.22948556,25.69604,0.8184915421686261,1.0
SLC39A6,0.18571086,0.031374954,0.8526715127650949,1.0
MT1E,0.0,0.0,1.0,1.0
SLC39A7,-0.01724458,-0.3859679,0.9862414980112084,1.0
SLC39A1,-0.319688,-0.84128255,0.7492048744695456,1.0
SLC30A9,-0.38070726,-2.2634344,0.7034204815227658,1.0
