scope,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
pooled_both_datasets,unsigned,26,0.12408913671970367,0.13958275318145752,0.017385460436344147,2.6941299438476562e-05
pooled_both_datasets,signed,26,-0.005877857113124004,-0.016256340579794987,-0.01331335592216679,0.0011651217937469482
