names,scores,logfoldchanges,pvals,pvals_adj
MT2A,3.127687,1.097314,0.0017618766468949826,0.36000560965623113
MT1X,2.5049071,1.2446067,0.012248358171184547,1.0
SLC39A6,1.8112426,1.9434391,0.07010330424934012,1.0
MT1E,1.5111328,2.4307861,0.130754611164558,1.0
SLC39A7,0.87247694,0.5998611,0.3829482470176456,1.0
MT1F,0.73906386,0.7488487,0.4598682209572994,1.0
SLC39A10,0.69101846,0.4694056,0.48955395165691773,1.0
SLC39A9,0.357625,0.6341754,0.7206239503247271,1.0
SLC39A11,0.34718037,1.2235696,0.7284558202622007,1.0
SLC39A14,0.3069336,3.6347988,0.7588938947009969,1.0
SLC30A9,0.3003883,-0.70588136,0.7638809817693221,1.0
SLC39A1,0.2386952,-0.059690066,0.8113419347959191,1.0
SLC30A1,0.055844095,-0.4716615,0.9554660076684658,1.0
