names,scores,logfoldchanges,pvals,pvals_adj
MT1F,0.9440114,1.626437,0.3451638255498899,1.0
SLC39A1,0.71768266,0.5929527,0.47295299095422894,1.0
SLC39A7,0.71408296,1.0809766,0.4751758723423194,1.0
SLC30A9,0.49675336,0.59053636,0.6193629785038983,1.0
SLC39A6,0.41036147,0.48208675,0.6815407963618147,1.0
SLC39A14,-0.021148015,-21.925165,0.9831275829873988,1.0
SLC39A9,-0.036896538,-0.56035215,0.9705675010470093,1.0
MT1E,-0.057594594,-0.6214247,0.9540715557805761,1.0
MT1X,-0.20698057,-0.24689826,0.8360250307239614,1.0
SLC30A1,-0.21148016,-25.063726,0.8325126196785467,1.0
SLC39A11,-0.21148016,-25.046837,0.8325126196785467,1.0
SLC39A10,-0.2717745,-1.2787011,0.7857954203747206,1.0
MT2A,-1.2099364,-0.7853057,0.22630328514320242,1.0
