condition,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
HC,unsigned,3,0.1149604320526123,0.13645894825458527,0.035672418773174286,0.25
HC,signed,3,0.01621333120523819,-0.008646341473130243,-0.020962028830711334,0.25
MS,unsigned,13,0.1277262270450592,0.15783150494098663,0.02958500385284424,0.000244140625
MS,signed,13,0.04421630987365331,0.030710778066090176,-0.027504233244274347,0.008056640625
