scope,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
pooled,unsigned,16,0.12325195968151093,0.15757137537002563,0.0315629206597805,3.0517578125e-05
pooled,signed,16,0.041399434574746666,0.015507941866027459,-0.02456924895523116,0.00213623046875
