gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2fc,pval,padj
MT1E,11,0.056494758,0.07903024,0.0325118260463346,0.037109375,0.51953125
SLC39A4,11,0.046356186,0.061563075,0.02193890236382011,0.08300781,0.5810546875
SLC39A14,11,0.0025156566,0.011445093,0.012882453172276412,0.15625,0.7291666666666667
SLC39A1,11,0.080589645,0.06745641,-0.018947253403145875,0.46484375,1.0
SLC39A6,11,0.070369005,0.07956445,0.01326622573960447,0.6376953,1.0
SLC39A7,11,0.06486449,0.06144993,-0.004926163562157501,0.8984375,1.0
SLC39A9,11,0.023337318,0.024756301,0.002047160550569486,1.0,1.0
SLC39A10,11,0.10059025,0.10228193,0.0024405735516470806,0.9658203,1.0
SLC39A11,11,0.011860278,0.015784645,0.005661664835560281,0.8203125,1.0
SLC30A1,11,0.012908057,0.018665744,0.008306586023179414,0.49609375,1.0
SLC30A9,11,0.053503823,0.052393436,-0.0016019485248351495,0.921875,1.0
MT1F,11,0.104952626,0.11718852,0.01765266474769176,0.57714844,1.0
MT1X,11,0.27892658,0.28179118,0.004132743100233292,0.51953125,1.0
MT2A,11,0.50935495,0.5193215,0.014378695516710548,0.8310547,1.0
