condition,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
HC,unsigned,5,0.07315219938755035,0.09389317035675049,0.02116287127137184,0.0625
HC,signed,5,-0.023947401704000577,-0.02746332436800003,-0.024717188473524793,0.4375
MS,unsigned,5,0.07461292296648026,0.09029289335012436,0.012722127139568329,0.0625
MS,signed,5,-0.008052794761689646,-0.011360626800784044,-0.008644769932808622,0.4375
