names,scores,logfoldchanges,pvals,pvals_adj
MT1F,1.3037915,1.7018086,0.19230468015289437,1.0
MT1E,0.75928795,2.5894024,0.4476803273320742,1.0
MT1X,0.48703617,0.31364283,0.6262327022823415,1.0
SLC39A6,0.14797854,0.087644204,0.8823597044821604,1.0
SLC39A1,0.11277976,0.10714555,0.9102051643725989,1.0
SLC39A11,0.06680585,0.9453499,0.9467362696423871,1.0
SLC39A14,0.0,0.0,1.0,1.0
SLC39A9,-0.035198778,-0.49921772,0.9719212359277793,1.0
SLC30A1,-0.16162704,-24.582384,0.8715995577447405,1.0
SLC39A10,-0.17024715,-0.2674771,0.8648157685838775,1.0
SLC30A9,-0.24351808,-0.7414008,0.8076040787802267,1.0
MT2A,-0.34695938,-0.32904008,0.7286218263914417,1.0
SLC39A7,-0.35845286,-1.4979401,0.7200044313806118,1.0
