group4,mean,std,count,sem
HC-PB,7.776247591753783,5.926395517452773,8,2.095297229192207
HC-CSF,20.06089024408303,10.769090052877312,8,3.807448301799071
MS-PB,9.51170075618375,4.105045429776148,18,0.9675684868245199
MS-CSF,27.62249622683563,10.504542848776898,19,2.4099074066269135
