names,scores,logfoldchanges,pvals,pvals_adj
MT1X,0.9551039,0.58622533,0.3395251784035007,1.0
SLC39A6,0.8820837,1.5628769,0.3777315542822782,1.0
SLC39A11,0.47901234,2.3311553,0.6319298554667434,1.0
SLC30A9,0.37386328,0.5534474,0.7085060341868086,1.0
MT1E,0.24096657,0.14954355,0.8095810267845431,1.0
SLC39A9,0.11683228,0.41098037,0.9069929662230286,1.0
SLC30A1,0.105149046,1.3095859,0.9162575398839257,1.0
SLC39A10,0.0847034,0.11638813,0.9324971927093744,1.0
SLC39A7,0.0423517,-0.09852417,0.9662183315059067,1.0
MT1F,-0.04673291,-0.3454787,0.9627261002377256,1.0
SLC39A14,-0.0847034,-23.51659,0.9324971927093744,1.0
SLC39A1,-0.6498795,-1.4355029,0.5157700376881243,1.0
MT2A,-0.66448355,-0.26744863,0.5063808608172313,1.0
