names,scores,logfoldchanges,pvals,pvals_adj
SLC39A10,1.1592063,2.330896,0.24637209223282508,1.0
MT1X,1.0937829,1.9344076,0.2740502077872954,1.0
SLC39A1,0.5674877,0.8148986,0.5703828715847639,1.0
MT1E,0.30967093,2.4128757,0.7568112177295359,1.0
SLC39A14,0.3087017,1.173081,0.757548461591574,1.0
MT1F,0.24473211,0.19238704,0.8066638672721016,1.0
SLC39A11,-0.06106187,-23.954885,0.9513099343164729,1.0
SLC30A1,-0.06106187,-23.933918,0.9513099343164729,1.0
SLC39A9,-0.08141583,-24.440649,0.9351112610710757,1.0
MT2A,-0.1264853,-0.27773628,0.8993477797590561,1.0
SLC39A7,-0.20353958,-25.776604,0.8387133183137607,1.0
SLC39A6,-0.2849554,-26.27371,0.7756783100138996,1.0
SLC30A9,-0.4274331,-26.954233,0.669063900739983,1.0
