condition,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
HC,unsigned,5,0.1061786338686943,0.09649492800235748,-0.005829453468322754,0.4375
HC,signed,5,-0.040273466280528476,-0.05057900984372411,-0.0015486646443605423,0.625
MS,unsigned,6,0.08753694593906403,0.11109133064746857,0.012158505618572235,0.03125
MS,signed,6,-0.01844001917301544,-0.020414693813238825,0.004299464535766415,0.5625
