names,scores,logfoldchanges,pvals,pvals_adj
MT2A,4.238105,0.58645827,2.254145569153738e-05,0.0005501150848677817
SLC39A7,4.078797,1.1585224,4.526939474944242e-05,0.0010122415565645298
SLC39A1,3.7385592,0.9375085,0.00018507793352405102,0.003518711405987756
SLC39A6,3.673845,1.2196466,0.00023892773322692164,0.00439483503644078
SLC30A9,2.5384185,0.76335484,0.011135474663496226,0.12457707578085021
MT1F,2.3463778,1.1417788,0.018956874450455834,0.19649543996783722
SLC39A10,2.1567397,0.2052806,0.031025945047151126,0.2992506150508527
MT1X,2.0433774,0.42189026,0.04101510126257453,0.37815109745365166
SLC39A11,1.6598969,0.92509323,0.09693520537579899,0.7720260275148739
MT1E,0.8504438,0.3696842,0.39507841619268147,1.0
SLC39A9,0.8020958,0.681962,0.42249754949565743,1.0
SLC30A1,0.62064075,0.4158516,0.5348360133941357,1.0
SLC39A14,0.5145605,0.7389791,0.6068601622009797,1.0
