names,scores,logfoldchanges,pvals,pvals_adj
SLC30A9,1.1708617,1.1787,0.24165434150417653,1.0
SLC39A1,1.1664326,0.6631172,0.2434395981355303,1.0
MT2A,1.1115104,0.27978256,0.2663487346509522,1.0
SLC39A9,0.9835062,1.1327214,0.32535837751269214,1.0
SLC39A7,0.7447717,0.3621541,0.45640972570047256,1.0
MT1X,0.5295121,0.004791178,0.5964502483366695,1.0
SLC39A10,0.5171103,0.25734907,0.6050791517805949,1.0
MT1E,0.3724966,0.34464818,0.7095231452717392,1.0
SLC39A6,0.34880033,-0.1525614,0.7272392223111876,1.0
MT1F,0.2704033,-0.21227244,0.7868500042404535,1.0
SLC39A14,0.23984174,1.5539525,0.8104529437605927,1.0
SLC30A1,0.23718421,0.8293203,0.8125138789596009,1.0
SLC39A11,0.1313261,-0.24890988,0.8955173543487065,1.0
