scope,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
pooled,unsigned,16,0.1395583599805832,0.15731123089790344,0.021103553473949432,0.013033566996455193
pooled,signed,16,0.00999617695509057,0.0028102003935990593,-0.006698374836040395,0.7172904403620357
