scope,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
pooled,unsigned,11,0.08980892598628998,0.10260902345180511,0.009919494390487671,0.1748046875
pooled,signed,11,-0.036746084823140075,-0.03395663521119526,0.0027894496119448137,1.0
