gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
SPON2,8,18,0.23696034,0.26209384,0.036259983692491615,0.64356273,0.8273349070767744,False,
CD79B,8,18,0.23149435,0.24941884,0.025859569357708202,0.68317807,0.8273349070767744,False,
GZMA,8,18,0.99264705,1.0542716,0.08890539946762376,0.68317807,0.8273349070767744,False,
FERMT3,8,18,0.37418592,0.40667728,0.04687511836687725,0.64356273,0.8273349070767744,False,
NCOA4,8,18,0.23441775,0.2699755,0.05129900659718992,0.68317807,0.8273349070767744,False,
SLC39A4,8,18,0.062092688,0.05644822,-0.008143244156908003,0.68317807,0.8273349070767744,True,0.956449294090271
TAGLN2,8,18,1.2735163,1.217567,-0.08071782140799802,0.7236191,0.8378747513419703,False,
HLA-DRB1,8,18,0.782867,0.7951596,0.017734421000345668,0.7236191,0.8378747513419703,False,
MT-CO2,8,18,4.144949,4.1051764,-0.057379603703264025,0.7236191,0.8378747513419703,False,
MT-CO1,8,18,4.225437,4.2052107,-0.029180640337194468,0.7236191,0.8378747513419703,False,
TRDC,8,18,0.21731022,0.2404762,0.03342145303566368,0.7236191,0.8378747513419703,False,
KLRF1,8,18,0.20946777,0.21070409,0.0017836320720981884,0.764841,0.8779044752535613,False,
CMC1,8,18,0.5364325,0.5466665,0.014764538593921258,0.8066826,0.9179491503485318,False,
XCL2,8,18,0.15021993,0.1659795,0.022736256928882807,0.84908867,0.9418462544930082,False,
MT-CO3,8,18,3.9108024,3.8615744,-0.07102092360440028,0.84908867,0.9418462544930082,False,
TRAC,8,18,1.1564398,1.0912989,-0.09397837172012402,0.84908867,0.9418462544930082,False,
SLC30A1,8,18,0.015008092,0.016135203,0.0016260771533054175,0.8894628,0.9784091114997864,True,1.0
FOS,8,18,0.46631175,0.4763277,0.014449939329830467,0.9350223,0.9795471656890142,False,
TRGC2,8,18,0.21506573,0.21637996,0.0018960227344370338,0.9350223,0.9795471656890142,False,
SLC39A1,8,18,0.09760325,0.0918424,-0.008311147594270658,0.9350223,0.9795471656890142,True,1.0
TUBA4A,8,18,0.45934963,0.48089796,0.031087669961286722,0.9350223,0.9795471656890142,False,
LST1,8,18,0.18621592,0.1780357,-0.011801556991362719,0.9350223,0.9795471656890142,False,
CTSS,8,18,0.57249755,0.5731781,0.0009818489537757745,0.9350223,0.9795471656890142,False,
SLC39A7,8,18,0.10156874,0.10361597,0.002953522556761086,1.0,1.0,True,1.0
FGFBP2,8,18,0.33449623,0.34361243,0.013151900272443418,0.97831047,1.0,False,
MT1E,8,18,0.08975856,0.09126825,0.0021780205372736454,1.0,1.0,True,1.0
GZMH,8,18,0.47389978,0.5137303,0.05746327326290878,1.0,1.0,False,
KLRD1,8,18,0.516235,0.537252,0.030321143286391183,0.97831047,1.0,False,
ACTB,8,18,3.7439518,3.83938,0.13767383184218696,0.97831047,1.0,False,
