gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
MT1F,8,19,0.15273151,0.13308711,-0.02834087055086273,0.6516912,0.7571118333760429,True,0.7603063980738323
HLA-DQA1,8,19,0.3231473,0.27870074,-0.06412282846528117,0.6904043,0.7904628895331121,False,
IFITM3,8,19,0.2296403,0.22940053,-0.00034592160437918175,0.7299448,0.8237948741231647,False,
MT2A,8,19,0.65474916,0.5955193,-0.08545061197709165,0.7702167,0.8570016840813865,True,0.8111180663108826
HOPX,8,19,0.41245782,0.40143275,-0.015905815465046855,0.81111807,0.8659233410616178,False,
TAGLN2,8,19,0.6454836,0.65411675,0.012454983575484602,0.81111807,0.8659233410616178,False,
MT1E,8,19,0.10873835,0.090667665,-0.02607048458116008,0.81111807,0.8659233410616178,True,0.8111180663108826
IRF7,8,19,0.22593665,0.2300085,0.005874432903352313,0.85254174,0.8861947083159497,False,
CD8B,8,19,0.39745346,0.39985448,0.0034639455666905447,0.85254174,0.8861947083159497,False,
CLIC3,8,19,0.21603481,0.21708222,0.0015110825661433524,0.8943762,0.9058425800922589,False,
HLA-DQB1,8,19,0.38905627,0.3662777,-0.032862530918190906,0.8943762,0.9058425800922589,False,
HLA-DPA1,8,19,0.8559839,0.8124509,-0.06280488241605675,0.9365066,0.9365066289901733,False,
