gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
GZMB,8,18,0.5273461,0.49164575,-0.05150467634979048,0.7236191,0.8874573910011435,False,
TAGLN2,8,18,1.2704445,1.2124891,-0.08361194545671737,0.7236191,0.8874573910011435,False,
CTSS,8,18,0.56025314,0.5645158,0.006149755629552311,0.7236191,0.8874573910011435,False,
MT-CO2,8,18,4.141676,4.1051774,-0.05265627217996785,0.764841,0.9039030237631365,False,
KLRF1,8,18,0.20440759,0.20442224,2.1132368224767613e-05,0.764841,0.9039030237631365,False,
HLA-DRB1,8,18,0.7773494,0.78537625,0.011580279813196356,0.764841,0.9039030237631365,False,
HOPX,8,18,0.54735583,0.57829595,0.044637151126862236,0.764841,0.9039030237631365,False,
MT-CO1,8,18,4.2242074,4.2054777,-0.027021226172961044,0.8066826,0.9447633897936022,False,
CCL4,8,18,0.32107824,0.3030404,-0.026023124858678734,0.84908867,0.9598393647567086,False,
TRDC,8,18,0.21320003,0.2353763,0.031993588574706563,0.84908867,0.9598393647567086,False,
MT-CO3,8,18,3.91086,3.8617542,-0.07084481336991676,0.84908867,0.9598393647567086,False,
TRAC,8,18,1.1617225,1.0965195,-0.0940681466638744,0.84908867,0.9598393647567086,False,
TRGC2,8,18,0.21720515,0.21585195,-0.0019522610612691723,0.9350223,0.980265308772364,False,
TUBA4A,8,18,0.45517552,0.480753,0.03690051157779879,0.9350223,0.980265308772364,False,
SLC30A1,8,18,0.014695039,0.01560549,0.0013135027162056426,0.8894628,0.980265308772364,True,1.0
CMC1,8,18,0.5348582,0.54076415,0.008520450480370697,0.9350223,0.980265308772364,False,
LST1,8,18,0.17581248,0.1699006,-0.008529049612913838,0.9350223,0.980265308772364,False,
DUSP1,8,18,0.52952766,0.6014193,0.10371774923848487,0.9350223,0.980265308772364,False,
FOS,8,18,0.46197128,0.4691891,0.010413119553115906,0.89189035,0.980265308772364,False,
KLRD1,8,18,0.51075673,0.5286143,0.025763001099248735,0.9350223,0.980265308772364,False,
ACTB,8,18,3.7351675,3.8360846,0.1455926010185141,0.89189035,0.980265308772364,False,
GZMH,8,18,0.45942512,0.5089229,0.07141016333896553,0.97831047,0.9935965668410063,False,
SLC39A1,8,18,0.09855965,0.09218893,-0.009191000087169108,0.97831047,0.9935965668410063,True,1.0
FGFBP2,8,18,0.3271528,0.33904964,0.017163524590806577,0.97831047,0.9935965668410063,False,
XCL2,8,18,0.14770949,0.16194075,0.020531374851327527,0.97831047,0.9935965668410063,False,
SLC39A7,8,18,0.10172588,0.103119865,0.002011100625695611,1.0,1.0,True,1.0
MT1E,8,18,0.09047548,0.09029079,-0.0002664441218492063,1.0,1.0,True,1.0
