gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
ENSG00000282885,18,0.18872401,0.24085954,0.07521566645026961,0.13295728,0.16053360435697767,False,
FYB,18,0.16100423,0.22114985,0.08677178270101975,0.13801073,0.16540991350570147,False,
MT-ATP6,18,3.3720717,3.1364555,-0.33992233356913437,0.1540451,0.18327994242201756,False,
MZB1,18,0.1567244,0.14870651,-0.01156735961655029,0.21214294,0.2469949994768415,False,
SLC30A9,18,0.16486321,0.14321582,-0.031230587544153716,0.21214294,0.2469949994768415,True,0.2970001220703125
SLC39A1,18,0.10024103,0.08709844,-0.01896074329232293,0.21214294,0.2469949994768415,True,0.2970001220703125
TMSB4X,18,4.2038736,4.2573757,0.07718718956843541,0.26452637,0.3057999847628546,False,
NKG7,18,0.60290766,0.5181978,-0.12221052773781009,0.28372955,0.3256895575724857,False,
RHOB,18,0.15651625,0.15366922,-0.004107397157062385,0.32472992,0.3701466913823481,False,
CD8A,18,0.20023184,0.23213942,0.04603291932560208,0.39273834,0.44149206753434805,False,
CEBPD,18,0.13125652,0.12660429,-0.006711751936909254,0.39273834,0.44149206753434805,False,
SLC39A4,18,0.060430117,0.056583688,-0.0055492244594864204,0.46829224,0.5192628198740433,True,0.59600830078125
HOPX,18,0.25807762,0.2799379,0.03153770556293198,0.46829224,0.5192628198740433,False,
PLCL1,18,0.13290218,0.14131013,0.012130108348004756,0.5508728,0.6026326633939807,False,
IFNG-AS1,18,0.25996682,0.29351616,0.048401464393284674,0.5508728,0.6026326633939807,False,
PITPNA,18,0.124064736,0.11497545,-0.01311306444009546,0.5798416,0.6300945536295572,False,
MAN1A1,18,0.14162186,0.13483329,-0.00979383152519029,0.6094589,0.6578927450622154,False,
SLC39A6,18,0.07462949,0.08147211,0.009871804159525216,0.6396942,0.6770789406516335,True,0.6889014610877403
SLC30A1,18,0.020246876,0.022875942,0.0037929403161043383,0.6396942,0.6770789406516335,True,0.6889014610877403
MT-ND3,18,3.6625795,3.4735796,-0.2726692058798365,0.6396942,0.6770789406516335,False,
TALAM1,18,1.0408123,1.0099728,-0.0444919117782086,0.7531524,0.7920247508633522,False,
SLC39A14,18,0.008477297,0.008414052,-9.124217074055945e-05,0.79870605,0.834545428936298,True,0.7987060546875
ENSG00000289901,18,0.9075559,0.8807747,-0.038637106394886,0.80676633,0.8375981655090478,False,
FTH1,18,2.8746035,2.8974962,0.03302720430639205,0.8317261,0.8580465196054193,False,
HMHA1,18,0.12237247,0.12065799,-0.0024734759825402715,0.8927384,0.909737249338849,False,
CTSW,18,0.39092004,0.40280047,0.017139833980650224,0.8985748,0.909737249338849,False,
PRKCA,18,0.27210084,0.279574,0.010781506391264042,0.8985748,0.909737249338849,False,
IGHA1,18,0.20378438,0.19570476,-0.011656425131865865,0.9322815,0.9380363181785301,False,
IRF7,18,0.20917968,0.20809004,-0.0015720289180428603,0.96611786,0.9661178588867188,False,
