gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
NAMPT,7,0.1531032,0.10350274,-0.07155833714159952,0.109375,0.1892361111111111,False,
PRF1,7,0.2931685,0.16445722,-0.18569110849127546,0.109375,0.1892361111111111,False,
SPON2,7,0.19281532,0.06391171,-0.18596858100061125,0.109375,0.1892361111111111,False,
MT2A,7,0.3875613,0.5407769,0.2210434107481759,0.109375,0.1892361111111111,True,0.3828125
MARCH1,7,0.25589508,0.052349657,-0.2936539699945011,0.125,0.2003676470588235,False,
HIST1H4C,7,0.18153343,0.27384454,0.1331767864917635,0.125,0.2003676470588235,False,
FYB,7,0.32934052,0.48809218,0.22903024205858202,0.125,0.2003676470588235,False,
FAM26F,7,0.18770897,0.022670707,-0.23809989763665174,0.125,0.2003676470588235,False,
C9orf142,7,0.1738061,0.3436521,0.24503597944378017,0.125,0.2003676470588235,False,
KLRD1,7,0.201754,0.117803074,-0.12111558944217635,0.15625,0.23987676056338028,False,
CCL4,7,0.15439436,0.30052504,0.2108220088551093,0.15625,0.23987676056338028,False,
FOS,7,0.334053,0.15838914,-0.2534293992386573,0.15625,0.23987676056338028,False,
IRF7,7,0.20986475,0.16072798,-0.07088937837432159,0.21875,0.3179166666666667,False,
SLC39A7,7,0.082543634,0.064296894,-0.026324481458653088,0.21875,0.3179166666666667,True,0.51953125
CMC1,7,0.21617703,0.2750829,0.08498318462987789,0.21875,0.3179166666666667,False,
ITM2C,7,0.160987,0.19942693,0.05545709564059412,0.21875,0.3179166666666667,False,
VIMP,7,0.12070334,0.21014057,0.12903065024259427,0.25,0.34062499999999996,False,
NIBAN3,7,0.23579708,0.026834114,-0.3014698290521182,0.25,0.34062499999999996,False,
SLC39A14,7,0.0027684437,0.0010335713,-0.002502891733910111,0.25,0.34062499999999996,True,0.51953125
C10orf54,7,0.23336664,0.20713936,-0.0378379675098206,0.25,0.34062499999999996,False,
TALAM1,7,0.3769596,0.28474483,-0.13303778151420365,0.25,0.34062499999999996,False,
SLC30A9,7,0.07759951,0.050122503,-0.039640942255683015,0.296875,0.3898719879518072,True,0.51953125
PDE4D,7,0.15361515,0.096047655,-0.08305233540864114,0.296875,0.3898719879518072,False,
SLC30A1,7,0.01840405,0.009354768,-0.01305535351181531,0.296875,0.3898719879518072,True,0.51953125
SLC39A11,7,0.053411033,0.04543973,-0.011500157395725645,0.375,0.46448863636363635,True,0.525
SLC39A1,7,0.08516679,0.06904449,-0.02325955713979562,0.375,0.46448863636363635,True,0.525
CTSW,7,0.41165823,0.35634974,-0.07979328567262227,0.375,0.46448863636363635,False,
RHOB,7,0.07957732,0.12727183,0.06880863552394222,0.375,0.46448863636363635,False,
EGR1,7,0.0334961,0.10117841,0.09764493434736231,0.375,0.46448863636363635,False,
RPS17,7,2.7170103,2.5228999,-0.2800421021223251,0.46875,0.5553668478260869,False,
FTH1,7,2.9111989,3.002655,0.13194336991543815,0.46875,0.5553668478260869,False,
SLC39A10,7,0.10560985,0.12743874,0.03149243113009234,0.46875,0.5553668478260869,True,0.5965909090909091
RPL27A,7,3.1398218,3.1867063,0.06764008865373919,0.46875,0.5553668478260869,False,
SLC26A3,7,0.09558784,0.46876785,0.5383849382069761,0.5,0.5860215053763441,False,
CST3,7,0.45694187,0.4016309,-0.07979685431262767,0.578125,0.670378989361702,False,
AES,7,0.38329062,0.43358582,0.0725606412819123,0.625,0.7171052631578947,False,
FTL,7,3.111038,3.0583587,-0.07600016531218032,0.6875,0.7725515463917526,False,
SLC39A4,7,0.054151777,0.054095395,-8.134241940026903e-05,0.6875,0.7725515463917526,True,0.8020833333333334
ENSG00000289901,7,0.4371431,0.5283671,0.13160843370288283,0.75,0.8341836734693877,False,
