gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
AIF1,18,0.18800262,0.1620652,-0.03741979169424768,0.34655,0.4531807532677284,False,
MT2A,18,0.64980644,0.6064223,-0.0625900760851291,0.34655,0.4531807532677284,True,0.5390777587890625
MTRNR2L12,18,0.28360352,0.2589226,-0.03560703006065961,0.34523106,0.4531807532677284,False,
TAFA1,18,0.14155048,0.13122886,-0.014890945842305423,0.38235205,0.49618205496373063,False,
MT-CO1,18,4.205211,4.155395,-0.07186948600375738,0.39273834,0.49825013573489974,False,
MT1E,18,0.09126825,0.093360245,0.00301811279107575,0.39273834,0.49825013573489974,True,0.5498336791992188
IGKC,18,0.2998233,0.3533376,0.07720477479448615,0.39273834,0.49825013573489974,False,
HLA-DPB1,18,0.94517255,0.8993127,-0.06616181177824791,0.41711426,0.521392822265625,False,
CD151,18,0.09766242,0.089080185,-0.012381546983566182,0.41711426,0.521392822265625,False,
CHN2,18,0.12644845,0.1164358,-0.01444519905801606,0.4422989,0.5370772225516184,False,
CST7,18,0.9724347,0.91962516,-0.07618805635824794,0.4422989,0.5370772225516184,False,
PARVB,18,0.1043774,0.09316076,-0.016182180836067712,0.4422989,0.5370772225516184,False,
CCDC50,18,0.15871647,0.13104022,-0.039928395133226685,0.4422989,0.5370772225516184,False,
NHSL2,18,0.3536564,0.39035246,0.05294120443678481,0.46829224,0.5646076608211436,False,
AES,18,0.2817937,0.2745385,-0.010467079109824112,0.50018424,0.5946246185502806,False,
MTRNR2L8,18,0.44388115,0.4063009,-0.054216842753896974,0.50018424,0.5946246185502806,False,
AUTS2,18,0.18680923,0.19749591,0.015417621212741418,0.5226135,0.6127193056303879,False,
ILK,18,0.27560756,0.25916636,-0.02371963222868499,0.5226135,0.6127193056303879,False,
PITPNA,18,0.10040346,0.091094315,-0.013430254192864874,0.5508728,0.6370637854751275,False,
ITM2C,18,0.22707807,0.25068694,0.034060411579281726,0.5508728,0.6370637854751275,False,
CST3,18,0.2702311,0.3573475,0.12568238450644031,0.6094589,0.6953558185756606,False,
TPM4,18,0.42542812,0.43929833,0.020010482397526796,0.6094589,0.6953558185756606,False,
A2M,18,0.117717505,0.110754095,-0.010046076329427635,0.6396942,0.7201855387908734,False,
LGALS1,18,0.752648,0.76462877,0.017284600377013994,0.6396942,0.7201855387908734,False,
ATP5E,18,0.68153435,0.6614925,-0.028914239211007976,0.6858304,0.7670471738827855,False,
TALAM1,18,0.9744372,0.96597886,-0.012202771017994293,0.70070344,0.7748041524515523,False,
SLC39A11,18,0.16956612,0.1474884,-0.031851423415937094,0.7018814,0.7748041524515523,True,0.8933036110617898
SLC39A1,18,0.0918424,0.08911958,-0.003928191234863339,0.79870605,0.8593672740308544,True,0.9176315665245056
DUSP2,18,0.4971727,0.46212563,-0.05056225441872501,0.79870605,0.8593672740308544,False,
SIPA1L1,18,0.27552974,0.26178315,-0.019832136388582063,0.79870605,0.8593672740308544,False,
HLA-DRB5,18,0.44416767,0.43829504,-0.008472424325117257,0.79870605,0.8593672740308544,False,
H2AC6,18,0.11069456,0.10503101,-0.008170766755503892,0.80676633,0.8625803541087504,False,
ENSG00000289901,18,0.8492609,0.90198684,0.07606741052866767,0.8613042,0.9151357375085354,False,
GPX1,18,0.64621204,0.66719955,0.030278577580302637,0.8985748,0.9314495179711318,False,
FYB,18,0.26454076,0.27017128,0.008123127561214893,0.8927384,0.9314495179711318,False,
MT1F,18,0.13656111,0.13294894,-0.005211267801625322,0.8985748,0.9314495179711318,True,0.9176315665245056
CCL4,18,0.3043571,0.32283142,0.02665279633915019,0.8985748,0.9314495179711318,False,
SLC39A14,18,0.0106737735,0.010653937,-2.8617644380679384e-05,0.91763157,0.9454385836919149,True,0.9176315665245056
TMSB4X,18,4.443275,4.4455996,0.0033536616918247684,0.9322815,0.9547461084572666,False,
PLCL1,18,0.13739653,0.13966545,0.0032733672917031947,0.94339204,0.960339200710822,False,
IFI30,18,0.13525316,0.14446534,0.013290367804219336,0.96611786,0.971834532607942,False,
KCNQ5,18,0.16147639,0.1550611,-0.00925531084967612,0.96611786,0.971834532607942,False,
ZC3H12B,18,0.20015606,0.19451475,-0.008138691991117978,0.9811166,0.9811165928840637,False,
