tissue,dataset,total_counts,n_genes_detected
CSF,GSE133028,6063.0,2067
CSF,GSE133028,3456.0,1310
CSF,GSE133028,3783.0,1584
CSF,GSE133028,4864.0,1405
CSF,GSE133028,4618.0,1664
CSF,GSE133028,2672.0,1272
CSF,GSE133028,2770.0,1237
CSF,GSE133028,5047.0,1862
CSF,GSE133028,7717.0,2384
CSF,GSE133028,3112.0,1113
CSF,GSE133028,4021.0,1433
CSF,GSE133028,2689.0,1090
CSF,GSE133028,3180.0,1256
CSF,GSE133028,8687.0,2701
CSF,GSE133028,3095.0,1423
CSF,GSE133028,2282.0,959
CSF,GSE133028,3046.0,1356
CSF,GSE133028,3386.0,1169
CSF,GSE133028,4869.0,1841
CSF,GSE133028,5153.0,2110
CSF,GSE133028,2534.0,1128
CSF,GSE133028,3255.0,1181
CSF,GSE133028,5168.0,1763
CSF,GSE133028,3622.0,1441
CSF,GSE133028,3010.0,1234
CSF,GSE133028,12394.0,3187
CSF,GSE133028,6884.0,1961
CSF,GSE133028,3108.0,1044
CSF,GSE133028,4299.0,1332
CSF,GSE133028,2497.0,1007
CSF,GSE133028,7134.0,2169
CSF,GSE133028,5628.0,1782
CSF,GSE133028,2498.0,1100
CSF,GSE133028,3010.0,1262
CSF,GSE133028,3916.0,1572
CSF,GSE133028,2823.0,1179
CSF,GSE133028,3519.0,1408
CSF,GSE133028,11398.0,2994
CSF,GSE133028,4289.0,1546
CSF,GSE133028,4491.0,2027
CSF,GSE133028,3495.0,1183
CSF,GSE133028,2455.0,1129
CSF,GSE133028,4996.0,1826
CSF,GSE133028,2531.0,814
CSF,GSE133028,4079.0,1137
CSF,GSE133028,2474.0,1025
CSF,GSE133028,2603.0,993
CSF,GSE133028,3366.0,1185
CSF,GSE133028,4043.0,1404
CSF,GSE133028,3694.0,1196
CSF,GSE133028,11476.0,3247
CSF,GSE133028,7224.0,2032
CSF,GSE133028,2805.0,952
CSF,GSE133028,4751.0,1458
CSF,GSE133028,1493.0,751
CSF,GSE133028,5777.0,1958
CSF,GSE133028,4417.0,1626
CSF,GSE133028,3125.0,1197
CSF,GSE133028,1788.0,886
CSF,GSE133028,3339.0,1543
CSF,GSE133028,1271.0,725
CSF,GSE133028,3527.0,1427
CSF,GSE133028,6903.0,2390
CSF,GSE133028,8102.0,2600
CSF,GSE133028,4596.0,1601
CSF,GSE133028,2549.0,1329
CSF,GSE133028,6592.0,2626
CSF,GSE133028,3879.0,1757
CSF,GSE133028,1832.0,876
CSF,GSE133028,3233.0,1332
CSF,GSE133028,5694.0,1943
CSF,GSE133028,2433.0,918
CSF,GSE133028,1713.0,688
CSF,GSE133028,2922.0,1103
CSF,GSE133028,3840.0,1668
CSF,GSE133028,8227.0,2392
CSF,GSE133028,4306.0,1374
CSF,GSE133028,6354.0,2017
CSF,GSE133028,2592.0,994
CSF,GSE133028,15078.0,4082
CSF,GSE133028,6210.0,2118
CSF,GSE133028,5326.0,1864
CSF,GSE133028,7010.0,2444
CSF,GSE133028,2347.0,918
CSF,GSE133028,3518.0,1282
CSF,GSE133028,2413.0,1168
CSF,GSE133028,7862.0,2585
CSF,GSE133028,3360.0,1045
CSF,GSE133028,3851.0,1435
CSF,GSE133028,4346.0,1540
CSF,GSE133028,5681.0,2108
CSF,GSE133028,5657.0,1725
CSF,GSE133028,3563.0,1520
CSF,GSE133028,3653.0,1390
CSF,GSE133028,4280.0,1438
CSF,GSE133028,4611.0,1888
CSF,GSE133028,2853.0,1072
CSF,GSE133028,4800.0,1609
CSF,GSE133028,4592.0,1318
CSF,GSE133028,3812.0,1643
CSF,GSE133028,3701.0,1102
CSF,GSE133028,2586.0,975
CSF,GSE133028,4207.0,1235
CSF,GSE133028,3450.0,1571
CSF,GSE133028,2376.0,936
CSF,GSE133028,7960.0,2592
CSF,GSE133028,1548.0,807
CSF,GSE133028,10226.0,2822
CSF,GSE133028,4417.0,1561
CSF,GSE133028,3598.0,1356
CSF,GSE133028,2226.0,950
CSF,GSE133028,18522.0,4266
CSF,GSE133028,2779.0,1103
CSF,GSE133028,4382.0,1501
CSF,GSE133028,3198.0,1055
CSF,GSE133028,5213.0,1959
CSF,GSE133028,3654.0,1263
CSF,GSE133028,848.0,629
CSF,GSE133028,3578.0,1225
CSF,GSE133028,3022.0,949
CSF,GSE133028,22534.0,4080
CSF,GSE133028,3836.0,1458
CSF,GSE133028,3108.0,1328
CSF,GSE133028,7639.0,2460
CSF,GSE133028,3586.0,1423
CSF,GSE133028,5365.0,1423
CSF,GSE133028,1758.0,910
CSF,GSE133028,4803.0,1693
CSF,GSE133028,3222.0,1165
CSF,GSE133028,2962.0,1100
CSF,GSE133028,6275.0,1928
CSF,GSE133028,2990.0,1125
CSF,GSE133028,15157.0,4123
CSF,GSE133028,2829.0,1138
CSF,GSE133028,4118.0,1591
CSF,GSE133028,2241.0,935
CSF,GSE133028,5524.0,1527
CSF,GSE133028,5698.0,1872
CSF,GSE133028,4311.0,1540
CSF,GSE133028,1750.0,820
CSF,GSE133028,2591.0,1078
CSF,GSE133028,1268.0,745
CSF,GSE133028,5185.0,2148
CSF,GSE133028,1263.0,730
CSF,GSE133028,992.0,499
CSF,GSE133028,2240.0,1062
CSF,GSE133028,6495.0,2245
CSF,GSE133028,2652.0,1189
CSF,GSE133028,3889.0,1306
CSF,GSE133028,1769.0,860
CSF,GSE133028,3659.0,1483
CSF,GSE133028,2008.0,883
CSF,GSE133028,1002.0,383
CSF,GSE133028,2464.0,1214
CSF,GSE133028,1607.0,881
CSF,GSE133028,2003.0,828
CSF,GSE133028,4251.0,1805
CSF,GSE133028,2772.0,1064
CSF,GSE133028,1294.0,705
CSF,GSE133028,1733.0,815
CSF,GSE133028,2795.0,1446
CSF,GSE133028,6916.0,2193
CSF,GSE133028,2741.0,1414
CSF,GSE133028,1792.0,959
CSF,GSE133028,1293.0,652
CSF,GSE133028,1669.0,748
CSF,GSE133028,1428.0,784
CSF,GSE133028,1481.0,804
CSF,GSE133028,1370.0,779
CSF,GSE133028,2403.0,951
CSF,GSE133028,2010.0,851
CSF,GSE133028,2351.0,981
CSF,GSE133028,2083.0,884
CSF,GSE133028,1890.0,959
CSF,GSE133028,5037.0,2296
CSF,GSE133028,3492.0,1250
CSF,GSE133028,2605.0,1110
CSF,GSE133028,3478.0,1510
CSF,GSE133028,2225.0,1085
CSF,GSE133028,2041.0,964
CSF,GSE133028,2058.0,1070
